model,dataset,test_run,group_axis,review_fraction,mean_universe_n,mean_universe_error_count,mean_reviewed_n,mean_uncertainty_review_error_rate_at_k,mean_oracle_review_error_rate_at_k,mean_max_possible_review_error_rate_gain_over_uncertainty,mean_uncertainty_error_recall_at_k,mean_oracle_error_recall_at_k,mean_max_possible_error_recall_gain_over_uncertainty,mean_max_possible_review_error_count_gain_over_uncertainty,mean_uncertainty_fraction_of_oracle_error_count
PACE,bindingdb,seed_5,drug,0.05,95.5,17.75,5.0,0.0625,0.875,0.8125,0.0151515151515,0.6177489177489177,0.6025974025974178,4.25,0.0625
PACE,bindingdb,seed_5,drug,0.1,95.5,17.75,9.5,0.179411764706,0.75,0.5705882352939999,0.16958874458875,0.7350649350649351,0.565476190476185,7.0,0.221078431372549
PACE,bindingdb,seed_5,drug,0.2,95.5,17.75,19.25,0.16218487394949999,0.6130952380952381,0.4509103641457381,0.24318181818175,0.9701298701298702,0.7269480519481202,12.5,0.2514705882352941
PACE,bindingdb,seed_5,target,0.05,95.5,17.75,5.0,0.0625,0.875,0.8125,0.0151515151515,0.6177489177489177,0.6025974025974178,4.25,0.0625
PACE,bindingdb,seed_5,target,0.1,95.5,17.75,9.5,0.179411764706,0.75,0.5705882352939999,0.16958874458875,0.7350649350649351,0.565476190476185,7.0,0.221078431372549
PACE,bindingdb,seed_5,target,0.2,95.5,17.75,19.25,0.16218487394949999,0.6130952380952381,0.4509103641457381,0.24318181818175,0.9701298701298702,0.7269480519481202,12.5,0.2514705882352941
PACE,bindingdb,seed_6,drug,0.05,24.25,2.5,1.0,0.5,1.0,0.5,0.20833333333350001,0.41666666666666663,0.20833333333316667,1.0,0.5
PACE,bindingdb,seed_6,drug,0.1,24.25,2.5,2.25,0.225,1.0,0.775,0.20833333333350001,0.9166666666666667,0.7083333333331667,3.5,0.225
PACE,bindingdb,seed_6,drug,0.2,24.25,2.5,4.5,0.2125,0.55,0.3375,0.375,1.0,0.625,3.0,0.375
PACE,bindingdb,seed_6,target,0.05,24.25,2.5,1.0,0.5,1.0,0.5,0.20833333333350001,0.41666666666666663,0.20833333333316667,1.0,0.5
PACE,bindingdb,seed_6,target,0.1,24.25,2.5,2.25,0.225,1.0,0.775,0.20833333333350001,0.9166666666666667,0.7083333333331667,3.5,0.225
PACE,bindingdb,seed_6,target,0.2,24.25,2.5,4.5,0.2125,0.55,0.3375,0.375,1.0,0.625,3.0,0.375
PACE,bindingdb,seed_7,drug,0.05,37.5,7.25,1.5,0.666666666667,1.0,0.33333333333299997,0.139423076923,0.2091346153846154,0.06971153846161539,1.0,0.6666666666666666
PACE,bindingdb,seed_7,drug,0.1,37.5,7.25,3.25,0.547619047619,1.0,0.45238095238099996,0.247596153846,0.4495192307692308,0.20192307692323078,3.0,0.5476190476190476
PACE,bindingdb,seed_7,drug,0.2,37.5,7.25,6.5,0.5773809523810001,1.0,0.422619047619,0.519230769231,0.8990384615384616,0.3798076923074616,5.5,0.5773809523809523
PACE,bindingdb,seed_7,target,0.05,37.5,7.25,1.5,0.666666666667,1.0,0.33333333333299997,0.139423076923,0.2091346153846154,0.06971153846161539,1.0,0.6666666666666666
