model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,n_test,n_high_conf_positive,deferred_n,n_residual_candidates,n_residual_errors,residual_error_prevalence,candidate_error_count
PACE,biosnap,seed_4,drug,base,0.9,0.2,0.2,907,243,49,194,21.0,0.10824742268041238,34.0
PACE,biosnap,seed_4,target,base,0.8,0.1,0.2,907,278,28,250,38.0,0.152,45.0
PACE,biosnap,seed_4,target,base,0.8,0.2,0.2,907,278,56,222,28.0,0.12612612612612611,45.0
PACE,biosnap,seed_4,target,base,0.9,0.1,0.2,907,243,24,219,28.0,0.1278538812785388,34.0
PACE,biosnap,seed_4,target,base,0.9,0.2,0.2,907,243,49,194,21.0,0.10824742268041238,34.0
PACE,biosnap,seed_5,drug,base,0.8,0.1,0.2,907,176,18,158,14.0,0.08860759493670886,19.0
PACE,biosnap,seed_5,drug,base,0.8,0.2,0.2,907,176,35,141,10.0,0.07092198581560284,19.0
PACE,biosnap,seed_5,drug,base,0.9,0.1,0.2,907,147,15,132,9.0,0.06818181818181818,11.0
PACE,biosnap,seed_5,drug,base,0.9,0.2,0.2,907,147,29,118,8.0,0.06779661016949153,11.0
PACE,biosnap,seed_5,target,base,0.8,0.1,0.2,907,176,18,158,14.0,0.08860759493670886,19.0
PACE,biosnap,seed_5,target,base,0.8,0.2,0.2,907,176,35,141,10.0,0.07092198581560284,19.0
PACE,biosnap,seed_5,target,base,0.9,0.1,0.2,907,147,15,132,9.0,0.06818181818181818,11.0
PACE,biosnap,seed_5,target,base,0.9,0.2,0.2,907,147,29,118,8.0,0.06779661016949153,11.0
PACE,biosnap,seed_6,drug,base,0.8,0.1,0.2,907,208,21,187,18.0,0.0962566844919786,23.0
PACE,biosnap,seed_6,drug,base,0.8,0.2,0.2,907,208,42,166,13.0,0.0783132530120482,23.0
PACE,biosnap,seed_6,drug,base,0.9,0.1,0.2,907,175,18,157,11.0,0.07006369426751592,14.0
PACE,biosnap,seed_6,drug,base,0.9,0.2,0.2,907,175,35,140,9.0,0.06428571428571428,14.0
PACE,biosnap,seed_6,target,base,0.8,0.1,0.2,907,208,21,187,18.0,0.0962566844919786,23.0
PACE,biosnap,seed_6,target,base,0.8,0.2,0.2,907,208,42,166,13.0,0.0783132530120482,23.0
PACE,biosnap,seed_6,target,base,0.9,0.1,0.2,907,175,18,157,11.0,0.07006369426751592,14.0
PACE,biosnap,seed_6,target,base,0.9,0.2,0.2,907,175,35,140,9.0,0.06428571428571428,14.0
PACE,biosnap,seed_7,drug,base,0.8,0.1,0.2,907,181,18,163,13.0,0.07975460122699386,15.0
PACE,biosnap,seed_7,drug,base,0.8,0.2,0.2,907,181,36,145,8.0,0.05517241379310345,15.0
PACE,biosnap,seed_7,drug,base,0.9,0.1,0.2,907,144,14,130,8.0,0.06153846153846154,8.0
PACE,biosnap,seed_7,drug,base,0.9,0.2,0.2,907,144,29,115,4.0,0.034782608695652174,8.0
PACE,biosnap,seed_7,target,base,0.8,0.1,0.2,907,181,18,163,13.0,0.07975460122699386,15.0
PACE,biosnap,seed_7,target,base,0.8,0.2,0.2,907,181,36,145,8.0,0.05517241379310345,15.0
PACE,biosnap,seed_7,target,base,0.9,0.1,0.2,907,144,14,130,8.0,0.06153846153846154,8.0
PACE,biosnap,seed_7,target,base,0.9,0.2,0.2,907,144,29,115,4.0,0.034782608695652174,8.0
PACE,biosnap,seed_8,drug,base,0.8,0.1,0.2,907,200,20,180,20.0,0.1111111111111111,25.0
PACE,biosnap,seed_8,drug,base,0.8,0.2,0.2,907,200,40,160,13.0,0.08125,25.0
PACE,biosnap,seed_8,drug,base,0.9,0.1,0.2,907,169,17,152,11.0,0.07236842105263158,16.0
PACE,biosnap,seed_8,drug,base,0.9,0.2,0.2,907,169,34,135,10.0,0.07407407407407407,16.0
PACE,biosnap,seed_8,target,base,0.8,0.1,0.2,907,200,20,180,20.0,0.1111111111111111,25.0
PACE,biosnap,seed_8,target,base,0.8,0.2,0.2,907,200,40,160,13.0,0.08125,25.0
PACE,biosnap,seed_8,target,base,0.9,0.1,0.2,907,169,17,152,11.0,0.07236842105263158,16.0
PACE,biosnap,seed_8,target,base,0.9,0.2,0.2,907,169,34,135,10.0,0.07407407407407407,16.0
PACE,human,seed_4,drug,base,0.8,0.1,0.2,311,95,10,85,17.0,0.2,20.0
PACE,human,seed_4,drug,base,0.8,0.2,0.2,311,95,19,76,13.0,0.17105263157894737,20.0
PACE,human,seed_4,drug,base,0.9,0.1,0.2,311,91,9,82,17.0,0.2073170731707317,19.0
PACE,human,seed_4,drug,base,0.9,0.2,0.2,311,91,18,73,11.0,0.1506849315068493,19.0
PACE,human,seed_4,target,base,0.8,0.1,0.2,311,95,10,85,17.0,0.2,20.0
PACE,human,seed_4,target,base,0.8,0.2,0.2,311,95,19,76,13.0,0.17105263157894737,20.0
PACE,human,seed_4,target,base,0.9,0.1,0.2,311,91,9,82,17.0,0.2073170731707317,19.0
PACE,human,seed_4,target,base,0.9,0.2,0.2,311,91,18,73,11.0,0.1506849315068493,19.0
PACE,human,seed_5,drug,base,0.8,0.1,0.2,311,96,10,86,15.0,0.1744186046511628,20.0
PACE,human,seed_5,drug,base,0.8,0.2,0.2,311,96,19,77,12.0,0.15584415584415584,20.0
PACE,human,seed_5,drug,base,0.9,0.1,0.2,311,96,10,86,15.0,0.1744186046511628,20.0
PACE,human,seed_5,drug,base,0.9,0.2,0.2,311,96,19,77,12.0,0.15584415584415584,20.0
PACE,human,seed_5,target,base,0.8,0.1,0.2,311,96,10,86,15.0,0.1744186046511628,20.0
PACE,human,seed_5,target,base,0.8,0.2,0.2,311,96,19,77,12.0,0.15584415584415584,20.0
PACE,human,seed_5,target,base,0.9,0.1,0.2,311,96,10,86,15.0,0.1744186046511628,20.0
PACE,human,seed_5,target,base,0.9,0.2,0.2,311,96,19,77,12.0,0.15584415584415584,20.0
PACE,human,seed_6,drug,base,0.8,0.1,0.2,311,85,8,77,13.0,0.16883116883116883,17.0
PACE,human,seed_6,drug,base,0.8,0.2,0.2,311,85,17,68,8.0,0.11764705882352941,17.0
PACE,human,seed_6,drug,base,0.9,0.1,0.2,311,81,8,73,11.0,0.1506849315068493,16.0
PACE,human,seed_6,drug,base,0.9,0.2,0.2,311,81,16,65,6.0,0.09230769230769231,16.0
PACE,human,seed_6,target,base,0.8,0.1,0.2,311,85,8,77,13.0,0.16883116883116883,17.0
PACE,human,seed_6,target,base,0.8,0.2,0.2,311,85,17,68,8.0,0.11764705882352941,17.0
PACE,human,seed_6,target,base,0.9,0.1,0.2,311,81,8,73,11.0,0.1506849315068493,16.0
PACE,human,seed_6,target,base,0.9,0.2,0.2,311,81,16,65,6.0,0.09230769230769231,16.0
PACE,human,seed_7,drug,base,0.8,0.1,0.2,311,91,9,82,12.0,0.14634146341463414,16.0
PACE,human,seed_7,drug,base,0.8,0.2,0.2,311,91,18,73,9.0,0.1232876712328767,16.0
PACE,human,seed_7,drug,base,0.9,0.1,0.2,311,85,8,77,11.0,0.14285714285714285,14.0
PACE,human,seed_7,drug,base,0.9,0.2,0.2,311,85,17,68,5.0,0.07352941176470588,14.0
PACE,human,seed_7,target,base,0.8,0.1,0.2,311,91,9,82,12.0,0.14634146341463414,16.0
PACE,human,seed_7,target,base,0.8,0.2,0.2,311,91,18,73,9.0,0.1232876712328767,16.0
PACE,human,seed_7,target,base,0.9,0.1,0.2,311,85,8,77,11.0,0.14285714285714285,14.0
PACE,human,seed_7,target,base,0.9,0.2,0.2,311,85,17,68,5.0,0.07352941176470588,14.0
PACE,human,seed_8,drug,base,0.8,0.1,0.2,311,95,10,85,12.0,0.1411764705882353,17.0
PACE,human,seed_8,drug,base,0.8,0.2,0.2,311,95,19,76,9.0,0.11842105263157894,17.0
PACE,human,seed_8,drug,base,0.9,0.1,0.2,311,93,9,84,11.0,0.13095238095238096,15.0
PACE,human,seed_8,drug,base,0.9,0.2,0.2,311,93,19,74,8.0,0.10810810810810811,15.0
PACE,human,seed_8,target,base,0.8,0.1,0.2,311,95,10,85,12.0,0.1411764705882353,17.0
PACE,human,seed_8,target,base,0.8,0.2,0.2,311,95,19,76,9.0,0.11842105263157894,17.0
PACE,human,seed_8,target,base,0.9,0.1,0.2,311,93,9,84,11.0,0.13095238095238096,15.0
