model,dataset,test_run,group_axis,confidence_source,confidence_threshold,uncertainty_reject_fraction,review_fraction,selected_v2_profile,selection_metric,validation_metric,validation_gain_vs_U,fallback_reason,u_validation_error_detection_auprc,u2_validation_error_detection_auprc,ue2_validation_error_detection_auprc,u2e2_validation_error_detection_auprc,min_validation_gain,selection_reason
PACE,human,seed_4,drug,base,0.8,0.2,0.2,U2+E2,validation_error_detection_auprc,0.680556,0.273441,,0.407115,0.178266,0.25974,0.680556,0.005,validation_gain_vs_U_meets_threshold
PACE,human,seed_4,drug,base,0.9,0.1,0.2,U2+E2,validation_error_detection_auprc,0.866667,0.718205,,0.148462,0.184722,0.430556,0.866667,0.005,validation_gain_vs_U_meets_threshold
PACE,human,seed_4,drug,base,0.9,0.2,0.2,U2,validation_error_detection_auprc,0.611111,0.541847,,0.069264,0.611111,0.5625,0.583333,0.005,validation_gain_vs_U_meets_threshold
PACE,human,seed_5,target,base,0.8,0.1,0.2,U,validation_error_detection_auprc,0.17145,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.17145,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_5,target,base,0.8,0.2,0.2,U,validation_error_detection_auprc,0.13383,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.13383,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_5,target,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.201154,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.201154,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_5,target,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.144011,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.144011,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_5,drug,base,0.8,0.1,0.2,U2+E2,validation_error_detection_auprc,0.732426,0.453401,,0.279026,0.71914,0.133544,0.732426,0.005,validation_gain_vs_U_meets_threshold
PACE,human,seed_5,drug,base,0.8,0.2,0.2,U,validation_error_detection_auprc,0.166292,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.166292,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_5,drug,base,0.9,0.1,0.2,U,validation_error_detection_auprc,0.375775,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.375775,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_5,drug,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.203824,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.203824,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_6,target,base,0.8,0.1,0.2,U,validation_error_detection_auprc,0.293651,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.293651,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_6,target,base,0.8,0.2,0.2,U,validation_error_detection_auprc,0.611111,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.611111,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_6,target,base,0.9,0.1,0.2,U2,validation_error_detection_auprc,0.833333,0.575758,,0.257576,0.833333,0.583333,0.666667,0.005,validation_gain_vs_U_meets_threshold
PACE,human,seed_6,target,base,0.9,0.2,0.2,U,validation_error_detection_auprc,0.142857,0.0,fallback_to_U_gain_below_threshold_or_unavailable,0.142857,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_6,drug,base,0.8,0.1,0.2,U,validation_error_detection_auprc,1.0,0.0,fallback_to_U_gain_below_threshold_or_unavailable,1.0,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_6,drug,base,0.8,0.2,0.2,U,validation_error_detection_auprc,,,fallback_to_U_gain_below_threshold_or_unavailable,,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_6,drug,base,0.9,0.1,0.2,U,validation_error_detection_auprc,,,fallback_to_U_gain_below_threshold_or_unavailable,,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
PACE,human,seed_6,drug,base,0.9,0.2,0.2,U,validation_error_detection_auprc,,,fallback_to_U_gain_below_threshold_or_unavailable,,,,,0.005,fallback_to_U_gain_below_threshold_or_unavailable
