model,dataset,test_run,group_axis,review_fraction,method,delta_error_detection_auprc_vs_pause,delta_review_error_rate_vs_pause,delta_combined_recall_of_candidate_errors_vs_pause,delta_retained_accuracy_gain_vs_residual_vs_pause
DrugBAN,biosnap,seed_4,target,0.2,raw_uncertainty,-0.071118020794,-0.023809523809,-0.018092105263,-0.005830753354
DrugBAN,biosnap,seed_4,target,0.3,fixed_hgb_upe,0.067187148549,0.091281528676,0.131167763158,0.039175539176
DrugBAN,biosnap,seed_4,target,0.3,native_density,-0.205218852716,-0.145836520808,-0.19572368421,-0.063165438166
DrugBAN,biosnap,seed_4,target,0.3,native_max_shift,-0.195376222265,-0.180784446582,-0.245476973684,-0.078223109473
DrugBAN,biosnap,seed_4,target,0.3,raw_uncertainty,-0.071118020794,-0.016676866585,-0.0234375,-0.00726010101
DrugBAN,biosnap,seed_5,drug,0.05,fixed_hgb_upe,0.008738729468,0.010416666667,0.001714939024,0.000443801988
DrugBAN,biosnap,seed_5,drug,0.05,native_density,-0.483792745333,-0.495535714286,-0.095655487805,-0.024548855315
DrugBAN,biosnap,seed_5,drug,0.05,native_max_shift,-0.483668655232,-0.537202380952,-0.103467987805,-0.026564984347
DrugBAN,biosnap,seed_5,drug,0.05,raw_uncertainty,-0.344920535137,-0.489583333333,-0.09394054878,-0.024293289663
DrugBAN,biosnap,seed_5,drug,0.1,fixed_hgb_upe,0.008738729468,0.035897435898,0.015625,0.004030691531
DrugBAN,biosnap,seed_5,drug,0.1,native_density,-0.483792745333,-0.497737556561,-0.205221036586,-0.056003461712
DrugBAN,biosnap,seed_5,drug,0.1,native_max_shift,-0.483668655232,-0.560482654601,-0.231326219512,-0.063096406081
DrugBAN,biosnap,seed_5,drug,0.1,raw_uncertainty,-0.344920535137,-0.3592760181,-0.146150914634,-0.04042285658
DrugBAN,biosnap,seed_5,drug,0.2,fixed_hgb_upe,0.008738729468,0.054133510168,0.043445121951,0.013531863201
DrugBAN,biosnap,seed_5,drug,0.2,native_density,-0.483792745333,-0.495161160679,-0.402629573171,-0.123013657486
DrugBAN,biosnap,seed_5,drug,0.2,native_max_shift,-0.483668655232,-0.461015995499,-0.37480945122,-0.114524655286
DrugBAN,biosnap,seed_5,drug,0.2,raw_uncertainty,-0.344920535137,-0.268274254482,-0.217416158536,-0.066632729538
DrugBAN,biosnap,seed_5,drug,0.3,fixed_hgb_upe,0.008738729468,0.018376068376,0.021722560976,0.007898351648
DrugBAN,biosnap,seed_5,drug,0.3,native_density,-0.483792745333,-0.321252913753,-0.39481707317,-0.137789024622
DrugBAN,biosnap,seed_5,drug,0.3,native_max_shift,-0.483668655232,-0.344519230769,-0.423494664634,-0.147782823298
DrugBAN,biosnap,seed_5,drug,0.3,raw_uncertainty,-0.344920535137,-0.186181041181,-0.228658536585,-0.079857036168
DrugBAN,biosnap,seed_5,target,0.05,fixed_hgb_upe,0.264543824613,0.108630952381,0.020007621951,0.005349019457
DrugBAN,biosnap,seed_5,target,0.05,native_density,-0.198952510959,-0.278273809524,-0.053925304878,-0.013825665496
DrugBAN,biosnap,seed_5,target,0.05,native_max_shift,-0.198828420858,-0.319940476191,-0.061737804878,-0.015841794528
DrugBAN,biosnap,seed_5,target,0.05,raw_uncertainty,-0.060080300763,-0.272321428572,-0.052210365854,-0.013570099844
DrugBAN,biosnap,seed_5,target,0.1,fixed_hgb_upe,0.264543824613,0.333785822021,0.139100609756,0.037572336453
DrugBAN,biosnap,seed_5,target,0.1,native_density,-0.198952510959,-0.165912518854,-0.067835365854,-0.018658397987
DrugBAN,biosnap,seed_5,target,0.1,native_max_shift,-0.198828420858,-0.228657616893,-0.09394054878,-0.025751342356
DrugBAN,biosnap,seed_5,target,0.1,raw_uncertainty,-0.060080300763,-0.027450980392,-0.008765243903,-0.003077792854
DrugBAN,biosnap,seed_5,target,0.2,fixed_hgb_upe,0.264543824613,0.2963588136,0.239138719512,0.073726397484
DrugBAN,biosnap,seed_5,target,0.2,native_density,-0.198952510959,-0.22508439836,-0.18349847561,-0.055892786827
DrugBAN,biosnap,seed_5,target,0.2,native_max_shift,-0.198828420858,-0.190939233181,-0.155678353659,-0.047403784628
DrugBAN,biosnap,seed_5,target,0.2,raw_uncertainty,-0.060080300763,0.001802507837,0.001714939024,0.00048814112
DrugBAN,biosnap,seed_5,target,0.3,fixed_hgb_upe,0.264543824613,0.187764180264,0.23037347561,0.080520511042
DrugBAN,biosnap,seed_5,target,0.3,native_density,-0.198952510959,-0.157546620047,-0.193978658536,-0.067594049694
